"INDEX","KEYVALUE.x","LABEL.x","RED.x","GREEN.x","BLUE.x","ALPHA.x","HEMISPHERE.x","NETWORK.x","NETWORKKEY.x","NETWORKSORTEDORDER.x","GLASSERLABELNAME.x","KEYVALUE.y","LABEL.y","RED.y","GREEN.y","BLUE.y","ALPHA.y","HEMISPHERE.y","NETWORK.y","NETWORKKEY.y","NETWORKSORTEDORDER.y","GLASSERLABELNAME.y","netho_diff_beta","netho_diff_t","netho_diff_para_p","netho_diff_para_q","netho_diff_beta_parasig","parcel_hc_mean","parcel_hc_sd","parcel_pt_mean","parcel_pt_sd"
15,15,"Frontoparietal-30_L-Ctx",255,255,0,255,"L","Frontoparietal",7,400,"L_POS2_ROI",15,"Frontoparietal-30_L-Ctx",255,255,0,255,"L","Frontoparietal",7,400,"L_POS2_ROI",-0.632686260932188,-5.77621333228961,1.97286288877211e-08,7.04312051291643e-06,-0.632686260932188,0.635246039530882,0.182552954503292,0.510112495044879,0.15828944844695
16,16,"Visual2-35_L-Ctx",100,0,255,255,"L","Visual2",2,77,"L_V7_ROI",16,"Visual2-35_L-Ctx",100,0,255,255,"L","Visual2",2,77,"L_V7_ROI",0.439561377946635,3.41232131743182,0.000736097306796985,0.0150163850586585,0.439561377946635,0.978993701622742,0.243893845000403,1.05866527312989,0.285706707565735
17,17,"Visual2-36_L-Ctx",100,0,255,255,"L","Visual2",2,78,"L_IPS1_ROI",17,"Visual2-36_L-Ctx",100,0,255,255,"L","Visual2",2,78,"L_IPS1_ROI",0.123233315672531,1.06171599750537,0.289251055844495,0.582589284677967,NA,0.77103186937291,0.252043113736844,0.782094698881626,0.24653468280698
18,18,"Visual2-37_L-Ctx",100,0,255,255,"L","Visual2",2,79,"L_FFC_ROI",18,"Visual2-37_L-Ctx",100,0,255,255,"L","Visual2",2,79,"L_FFC_ROI",0.251138527117685,1.90964287675807,0.0571691688716884,0.225518157869533,NA,0.333490658576442,0.144914540594521,0.356809008889302,0.171677451588266
19,19,"Visual2-38_L-Ctx",100,0,255,255,"L","Visual2",2,80,"L_V3B_ROI",19,"Visual2-38_L-Ctx",100,0,255,255,"L","Visual2",2,80,"L_V3B_ROI",0.220136782032421,1.89795960734947,0.0586977267426881,0.226541496725834,NA,1.01326697055305,0.268208359276772,1.04509222948671,0.268054486786236
20,20,"Visual2-39_L-Ctx",100,0,255,255,"L","Visual2",2,81,"L_LO1_ROI",20,"Visual2-39_L-Ctx",100,0,255,255,"L","Visual2",2,81,"L_LO1_ROI",0.345847911740622,2.89375594772039,0.00409643699944787,0.0457008752750903,0.345847911740622,0.962420162300729,0.327031312667507,1.0424426993049,0.340009363998661
21,21,"Visual2-40_L-Ctx",100,0,255,255,"L","Visual2",2,82,"L_LO2_ROI",21,"Visual2-40_L-Ctx",100,0,255,255,"L","Visual2",2,82,"L_LO2_ROI",0.102079612906018,0.890712710189279,0.373824225935703,0.657415018024856,NA,0.712124783928759,0.271369079910652,0.718665187404223,0.262030407947248
22,22,"Visual2-41_L-Ctx",100,0,255,255,"L","Visual2",2,83,"L_PIT_ROI",22,"Visual2-41_L-Ctx",100,0,255,255,"L","Visual2",2,83,"L_PIT_ROI",0.375803496630702,2.87367853569248,0.00435819294000416,0.0478730732178918,0.375803496630702,0.593047997293375,0.225922083148631,0.656854631110547,0.272914486866771
23,23,"Visual2-42_L-Ctx",100,0,255,255,"L","Visual2",2,84,"L_MT_ROI",23,"Visual2-42_L-Ctx",100,0,255,255,"L","Visual2",2,84,"L_MT_ROI",0.0263989742026972,0.213846704550074,0.830817394676338,0.941948820241306,NA,0.711778498240026,0.275804780588478,0.700141252510748,0.29378628293736
24,24,"Auditory-08_L-Ctx",250,62,251,255,"L","Auditory",8,497,"L_A1_ROI",24,"Auditory-08_L-Ctx",250,62,251,255,"L","Auditory",8,497,"L_A1_ROI",0.0155521775091736,0.123767146074309,0.901585679929526,0.963670921361799,NA,0.589423325349896,0.175792898687561,0.589886294515909,0.189405518240923
25,25,"Language-11_L-Ctx",0,155,155,255,"L","Language",6,363,"L_PSL_ROI",25,"Language-11_L-Ctx",0,155,155,255,"L","Language",6,363,"L_PSL_ROI",-0.117432114253009,-0.968948680871305,0.333380991927575,0.624973698683535,NA,0.552153404756126,0.171231696032196,0.526441106317107,0.174889458226625
26,26,"Language-12_L-Ctx",0,155,155,255,"L","Language",6,364,"L_SFL_ROI",26,"Language-12_L-Ctx",0,155,155,255,"L","Language",6,364,"L_SFL_ROI",0.0638434446004921,0.557509617245779,0.577610846297072,0.829133693249107,NA,0.478356980037717,0.184977282383357,0.473435249449474,0.180573572371468
27,27,"Posterior-Multimodal-05_L-Ctx",177,89,40,255,"L","Posterior-Multimodal",10,652,"L_PCV_ROI",27,"Posterior-Multimodal-05_L-Ctx",177,89,40,255,"L","Posterior-Multimodal",10,652,"L_PCV_ROI",-0.25756329098064,-1.96304526048231,0.0505997921044022,0.218805448279197,NA,0.578670582778467,0.162396733119026,0.526980626109378,0.188875756586495
28,28,"Language-13_L-Ctx",0,155,155,255,"L","Language",6,365,"L_STV_ROI",28,"Language-13_L-Ctx",0,155,155,255,"L","Language",6,365,"L_STV_ROI",0.0343329620266722,0.284769404067633,0.776024766589119,0.927803344907461,NA,0.469623968745314,0.176672333077652,0.469343540142263,0.18383467665485
29,29,"Frontoparietal-31_L-Ctx",255,255,0,255,"L","Frontoparietal",7,401,"L_7Pm_ROI",29,"Frontoparietal-31_L-Ctx",255,255,0,255,"L","Frontoparietal",7,401,"L_7Pm_ROI",-0.239709141706834,-1.91173903925829,0.0568984734660664,0.225518157869533,NA,0.761681586041447,0.218016112900777,0.695039422633111,0.23794025397011
30,30,"Default-38_L-Ctx",255,0,0,255,"L","Default",9,543,"L_7m_ROI",30,"Default-38_L-Ctx",255,0,0,255,"L","Default",9,543,"L_7m_ROI",-0.0820109885329021,-0.678998780800622,0.497682035623312,0.765909098412672,NA,0.908886672281718,0.240772974034552,0.866877884129784,0.250236497040939
31,31,"Default-39_L-Ctx",255,0,0,255,"L","Default",9,544,"L_POS1_ROI",31,"Default-39_L-Ctx",255,0,0,255,"L","Default",9,544,"L_POS1_ROI",-0.408052813966023,-3.52270229185923,0.000496313420417525,0.0118122594059371,-0.408052813966023,0.803341179065195,0.218509426911865,0.696245789365232,0.218727778755305
32,32,"Default-40_L-Ctx",255,0,0,255,"L","Default",9,545,"L_23d_ROI",32,"Default-40_L-Ctx",255,0,0,255,"L","Default",9,545,"L_23d_ROI",-0.225491170670752,-1.88418551706007,0.0605435009150174,0.228719892345621,NA,0.640037676504196,0.17189223513676,0.592950469538255,0.172482837614235
33,33,"Default-41_L-Ctx",255,0,0,255,"L","Default",9,546,"L_v23ab_ROI",33,"Default-41_L-Ctx",255,0,0,255,"L","Default",9,546,"L_v23ab_ROI",-0.320981879548731,-2.71236207753149,0.00708104361510673,0.0631983142648276,NA,1.26887387964341,0.272273301815954,1.16798418703661,0.270661144765517
34,34,"Default-42_L-Ctx",255,0,0,255,"L","Default",9,547,"L_d23ab_ROI",34,"Default-42_L-Ctx",255,0,0,255,"L","Default",9,547,"L_d23ab_ROI",-0.194144335856595,-1.67885706127089,0.0942607405361865,0.300912922547756,NA,0.875673925705524,0.218353691155625,0.81893692410678,0.206241966959485
35,35,"Default-43_L-Ctx",255,0,0,255,"L","Default",9,548,"L_31pv_ROI",35,"Default-43_L-Ctx",255,0,0,255,"L","Default",9,548,"L_31pv_ROI",-0.20029095652155,-1.67388545258744,0.0952350052604349,0.300912922547756,NA,1.02512298197959,0.241547506859333,0.957686072572423,0.24543419151284
36,36,"Somatomotor-23_L-Ctx",0,255,255,255,"L","Somatomotor",3,155,"L_5m_ROI",36,"Somatomotor-23_L-Ctx",0,255,255,255,"L","Somatomotor",3,155,"L_5m_ROI",-0.0469214282429717,-0.362311239296746,0.717384258876907,0.90657055015595,NA,0.551082467361196,0.179203390606637,0.541635332034944,0.199921794861093
37,37,"Cingulo-Opercular-31_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,221,"L_5mv_ROI",37,"Cingulo-Opercular-31_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,221,"L_5mv_ROI",0.0210773629735846,0.170844996187271,0.864465197029942,0.952512578208918,NA,0.547681125185994,0.162208794229771,0.54266093307376,0.174482608863537
