"INDEX","KEYVALUE","LABEL","RED","GREEN","BLUE","ALPHA","HEMISPHERE","NETWORK","NETWORKKEY","NETWORKSORTEDORDER","GLASSERLABELNAME","rsfa_diff_beta","rsfa_diff_t","rsfa_diff_para_p","rsfa_diff_para_q","rsfa_diff_beta_parasig","parcel_hc_mean","parcel_hc_sd","parcel_pt_mean","parcel_pt_sd"
26,26,"Language-12_L-Ctx",0,155,155,255,"L","Language",6,364,"L_SFL_ROI",-0.0840613405251852,-0.722426942600452,0.47061619936295,0.63875695868166,NA,15.8984933104087,5.1868566009193,15.5576788378831,4.92405032095569
27,27,"Posterior-Multimodal-05_L-Ctx",177,89,40,255,"L","Posterior-Multimodal",10,652,"L_PCV_ROI",-0.0818543913624778,-0.696454968111958,0.486703712936809,0.647591155992171,NA,17.7769819033734,6.37170410471105,17.476202941031,6.33311427032686
28,28,"Language-13_L-Ctx",0,155,155,255,"L","Language",6,365,"L_STV_ROI",-0.0580225793402677,-0.53895851056618,0.59033040796041,0.738427235044555,NA,16.5928378183248,7.10633298319512,16.4144151890354,6.35457259562641
29,29,"Frontoparietal-31_L-Ctx",255,255,0,255,"L","Frontoparietal",7,401,"L_7Pm_ROI",-0.367993686827144,-3.16927907750024,0.00169213919077355,0.0157786485581222,-0.367993686827144,26.8228376482263,8.51152362909322,23.9922391723313,8.04934795260768
30,30,"Default-38_L-Ctx",255,0,0,255,"L","Default",9,543,"L_7m_ROI",-0.202224815484341,-1.76025666192009,0.0794220962331497,0.200297206937107,NA,29.8120599372404,8.36769816482588,27.9289098814494,7.9166634025839
31,31,"Default-39_L-Ctx",255,0,0,255,"L","Default",9,544,"L_POS1_ROI",-0.35583455368902,-3.26658708822458,0.00121970149734572,0.012818031469891,-0.35583455368902,28.0448564395546,8.29542914168256,25.0596432036261,6.96351573201429
32,32,"Default-40_L-Ctx",255,0,0,255,"L","Default",9,545,"L_23d_ROI",-0.229757494037639,-1.8551476448428,0.0645933483917705,0.178535941488962,NA,18.0340589271612,4.43463478398311,17.0502786602936,4.66565403461253
33,33,"Default-41_L-Ctx",255,0,0,255,"L","Default",9,546,"L_v23ab_ROI",-0.314188843076035,-2.78933398719504,0.00563255464786923,0.0318438916312607,-0.314188843076035,35.0300400554333,9.52129441197824,31.990803690354,8.54718290313325
34,34,"Default-42_L-Ctx",255,0,0,255,"L","Default",9,547,"L_d23ab_ROI",-0.264125776874549,-2.33257941589886,0.0203567406268494,0.0807521534258445,NA,25.7439318786019,7.19807281155699,23.8017735345912,6.52090471250478
35,35,"Default-43_L-Ctx",255,0,0,255,"L","Default",9,548,"L_31pv_ROI",-0.25168246831317,-2.31052221461236,0.0215633948960854,0.0846039209584117,NA,28.7134059879712,8.15967493857415,26.6525992645073,6.8165600451232
36,36,"Somatomotor-23_L-Ctx",0,255,255,255,"L","Somatomotor",3,155,"L_5m_ROI",0.0468925358885362,0.377338392923093,0.706199090167754,0.812581645417383,NA,15.9713081889154,6.51564259603184,16.9628308748685,7.36160209065546
37,37,"Cingulo-Opercular-31_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,221,"L_5mv_ROI",0.0345034601378121,0.296337956066438,0.767184842678385,0.84977784064833,NA,14.2786387075944,5.20335741429832,14.675684789202,5.17912267079442
38,38,"Cingulo-Opercular-32_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,222,"L_23c_ROI",-0.304074068090067,-2.84144334190704,0.00481047749777184,0.0297384285203158,-0.304074068090067,13.928456411818,4.79572864244576,12.7875486828583,4.0447555648843
39,39,"Somatomotor-24_L-Ctx",0,255,255,255,"L","Somatomotor",3,156,"L_5L_ROI",0.139381945336921,1.20952702869678,0.227448925123551,0.404228535244331,NA,15.7339374810611,6.25373712039791,17.0173978715377,6.55012186164377
40,40,"Somatomotor-25_L-Ctx",0,255,255,255,"L","Somatomotor",3,157,"L_24dd_ROI",-0.00065244806939068,-0.00587459141305013,0.99531683418992,0.995977271597914,NA,11.5888415291128,4.43539529741869,11.8814941638892,4.12262895315018
41,41,"Somatomotor-26_L-Ctx",0,255,255,255,"L","Somatomotor",3,158,"L_24dv_ROI",0.134488009390482,1.10714556191591,0.269151654746921,0.448377930645683,NA,14.137799465779,4.84424357535088,15.0282430293731,5.18748968466451
42,42,"Somatomotor-27_L-Ctx",0,255,255,255,"L","Somatomotor",3,159,"L_7AL_ROI",0.0461475947569051,0.401699802599429,0.688201860871876,0.806101013823846,NA,18.5504994743521,6.65053070726362,19.2216327794042,6.89098218614153
43,43,"Cingulo-Opercular-33_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,223,"L_SCEF_ROI",-0.271784155605817,-2.36675279668509,0.0186041165781457,0.0772124607116104,NA,13.7276913394952,3.90234107279937,12.9585839461368,3.81704411881006
44,44,"Cingulo-Opercular-34_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,224,"L_6ma_ROI",-0.0144500799279928,-0.125489316107609,0.90022343250059,0.940277961125221,NA,12.4981356807596,3.85891492411572,12.7246190514857,3.98143306006537
45,45,"Cingulo-Opercular-35_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,225,"L_7Am_ROI",-0.169173118433999,-1.49961752536085,0.134805097322668,0.284676646699046,NA,22.3754017199657,7.3205553340897,21.3756567902206,7.23729645739283
46,46,"Dorsal-Attention-13_L-Ctx",0,255,0,255,"L","Dorsal-Attention",5,316,"L_7PL_ROI",-0.135764919984729,-1.1983625279077,0.23175769976652,0.40985721288759,NA,28.4976154836682,9.87598379893195,27.3155433915602,9.56625401298333
47,47,"Somatomotor-28_L-Ctx",0,255,255,255,"L","Somatomotor",3,160,"L_7PC_ROI",-0.143960690532673,-1.33244615567824,0.18376327748828,0.344732906015797,NA,17.7778437388131,7.02854651479137,17.1676099659588,6.20168893293381
48,48,"Visual2-43_L-Ctx",100,0,255,255,"L","Visual2",2,85,"L_LIPv_ROI",0.0324694029547337,0.259106883232104,0.795737234951808,0.861748619450073,NA,21.2313862223479,7.63711180115141,21.5959139877311,8.44441006603905
49,49,"Visual2-44_L-Ctx",100,0,255,255,"L","Visual2",2,86,"L_VIP_ROI",-0.0757417650982261,-0.695907078857504,0.487046273308875,0.647591155992171,NA,23.7229172119917,9.90375907276873,23.2087277208528,8.78135520509337
50,50,"Dorsal-Attention-14_L-Ctx",0,255,0,255,"L","Dorsal-Attention",5,317,"L_MIP_ROI",-0.118997696604801,-0.973820787724371,0.330959909929113,0.519853106906645,NA,23.8785696200329,7.95396542555918,23.1691523077679,8.49571282573719
51,51,"Somatomotor-29_L-Ctx",0,255,255,255,"L","Somatomotor",3,161,"L_1_ROI",-0.0409247764767695,-0.346434544741899,0.729268259699131,0.827195277194275,NA,12.9276634229453,5.04697787220345,13.3313169985314,5.44638243831413
52,52,"Somatomotor-30_L-Ctx",0,255,255,255,"L","Somatomotor",3,162,"L_2_ROI",0.180623653824366,1.45937629585296,0.145547637541899,0.298580582157382,NA,12.4488079716687,5.02644971952446,13.8343265661251,5.72823919914946
53,53,"Somatomotor-31_L-Ctx",0,255,255,255,"L","Somatomotor",3,163,"L_3a_ROI",-0.00520173599680551,-0.041649147532028,0.966807152253508,0.980462620505676,NA,13.6245639209,4.88823853736691,13.9478876135243,5.53551974485072
54,54,"Somatomotor-32_L-Ctx",0,255,255,255,"L","Somatomotor",3,164,"L_6d_ROI",0.132552809401378,1.12018038441152,0.263566942861663,0.444227852053225,NA,13.5216291593888,5.73808197923783,14.851426744397,6.20250224750145
55,55,"Somatomotor-33_L-Ctx",0,255,255,255,"L","Somatomotor",3,165,"L_6mp_ROI",0.288022079382679,2.43514394650437,0.0154907417765359,0.067798067631575,NA,12.3792016800825,4.47490714024519,14.0423065731822,4.84081562179737
56,56,"Somatomotor-34_L-Ctx",0,255,255,255,"L","Somatomotor",3,166,"L_6v_ROI",0.0659132850242528,0.526374646329837,0.599031655056028,0.745415473709234,NA,17.2008125101733,7.08253469806695,18.0082754790193,7.79143268089842
57,57,"Cingulo-Opercular-36_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,226,"L_p24pr_ROI",0.0195216099881887,0.178095354409184,0.858772861854778,0.90943792745093,NA,13.3262605715948,4.31196701646957,13.5689914375789,3.77669535225771
58,58,"Cingulo-Opercular-37_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,227,"L_33pr_ROI",0.028972495301581,0.259373002451758,0.795532119506036,0.861748619450073,NA,16.7864569330707,5.75628260031499,17.2323922705931,5.16985020612665
59,59,"Cingulo-Opercular-38_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,228,"L_a24pr_ROI",0.158715937287336,1.30999955707798,0.191236288104343,0.35480014175431,NA,14.8765483006679,4.68337163656109,15.8213266386115,4.91273372759788
60,60,"Cingulo-Opercular-39_L-Ctx",153,0,153,255,"L","Cingulo-Opercular",4,229,"L_p32pr_ROI",0.285145807584635,2.28238290588152,0.0231933128703538,0.0895311754887851,NA,14.7176964976492,4.19814627213258,15.9300405361771,4.70234942390242
61,61,"Default-44_L-Ctx",255,0,0,255,"L","Default",9,549,"L_a24_ROI",-0.32420201043493,-2.69084262968806,0.0075421804533765,0.0394175533550085,-0.32420201043493,18.4420878734406,6.29377419508298,17.2109645141264,7.17303603598322
62,62,"Default-45_L-Ctx",255,0,0,255,"L","Default",9,550,"L_d32_ROI",-0.425547374515525,-3.56780046183022,0.000421276493199224,0.00589634990829457,-0.425547374515525,15.0033223409829,4.49173914772354,13.3965427270495,4.85414292332098
63,63,"Frontoparietal-32_L-Ctx",255,255,0,255,"L","Frontoparietal",7,402,"L_8BM_ROI",-0.27725972924304,-2.27785749310611,0.0234652381148206,0.0900964757563699,NA,14.4422073417017,3.87947152613261,13.5756393926659,4.18541466352307
64,64,"Default-46_L-Ctx",255,0,0,255,"L","Default",9,551,"L_p32_ROI",-0.298286067809139,-2.54075331900017,0.0115845406246156,0.0529789819648027,NA,21.1521704988753,8.28734468681397,19.5560235045879,8.67406376278015
65,65,"Default-47_L-Ctx",255,0,0,255,"L","Default",9,552,"L_10r_ROI",-0.211860389221493,-1.60000423275595,0.110690226036107,0.248361194668515,NA,24.8774466277535,9.04608661247709,23.7812986669203,11.6432729820655
66,66,"Default-48_L-Ctx",255,0,0,255,"L","Default",9,553,"L_47m_ROI",-0.290499697794328,-2.38120973636964,0.0179035521300862,0.0750152102968855,NA,22.3647384214524,7.97034443026055,20.9142077296667,8.83548479474349
67,67,"Default-49_L-Ctx",255,0,0,255,"L","Default",9,554,"L_8Av_ROI",-0.212405354623048,-1.83839881208183,0.0670297740948107,0.182300673485129,NA,16.7646640370899,4.93779719534708,15.8032762838944,4.76089514921049
68,68,"Default-50_L-Ctx",255,0,0,255,"L","Default",9,555,"L_8Ad_ROI",-0.107405694328594,-0.887752700582765,0.375412014722994,0.555764590868267,NA,15.4781264765704,4.37803820387775,15.1328232301369,4.62718336533556
69,69,"Default-51_L-Ctx",255,0,0,255,"L","Default",9,556,"L_9m_ROI",-0.157066764633947,-1.3425531007011,0.180470311537216,0.343444101684394,NA,17.4411941817763,6.01785846885639,16.9486895681693,6.02804842635087
70,70,"Default-52_L-Ctx",255,0,0,255,"L","Default",9,557,"L_8BL_ROI",-0.245252609994253,-2.19243394077282,0.0291454596682994,0.104208107102429,NA,16.7171947813964,4.98632030648918,15.7534677723348,4.73735076793678
71,71,"Default-53_L-Ctx",255,0,0,255,"L","Default",9,558,"L_9p_ROI",-0.270293276649992,-2.25772678534654,0.024708838060326,0.0938674377106563,NA,16.37668408146,5.12308715362668,15.4710087790602,5.43442301961713
72,72,"Default-54_L-Ctx",255,0,0,255,"L","Default",9,559,"L_10d_ROI",0.0142336583065492,0.108678010699259,0.913533300296366,0.942865167391514,NA,20.6573092767319,10.5237391327545,21.6460935839457,12.7544973238388
