"","G1.fMRI","T1T2ratio","Evolution.Expansion","CBF","Cortical.Thickness","PC1.AHBA","PC1.Neurosynth","cbv","cmr02","cmruglu","devexp","intersubjvar","meg_alpha","meg_beta","meg_delta","meg_gamma1","meg_gamma2","meg_theta","scalingnih","scalingpnc"
"SFL",3.460853846,1.208760714,0.823767841,56.51383499,2.943575633,1.205860636,1.154318187,6031.62555930398,4920.30467862216,6711.53658558239,0.145321149278331,0.637350790067153,0.20226801796393,0.106940288028934,0.334543565728448,0.0268930253657428,0.0121100244027647,0.317245079170574,1.16370706991716,1.03576999252493
"PCV",-0.799722693,1.291234498,0.055527439,61.00247498,2.538323796,-2.671145465,1.154318187,6357.1947265625,5618.28212890625,6879.65202907986,-0.0789217653482239,0.616189870569441,0.353373678525289,0.108687758776877,0.265178149938583,0.0197394487344556,0.00747493492025468,0.245546029673682,1.10178007814619,1.0186621454027
"STV",-1.038889266,1.315996154,1.116393933,69.4567488,2.777543093,-1.890034859,-2.780644735,5764.52938771802,5192.88026889535,6198.48599881904,0.0888773791894147,0.646396914193797,0.343046652023182,0.0934630327446516,0.288479728754177,0.0181726089483777,0.011085789758972,0.245752184890037,1.1472450744274,1.01389809403309
"7Pm",2.6549768,1.278582992,-0.367161664,61.01543432,2.387170663,-9.681264244,-5.67454821,6570.00504078585,5817.16350241268,7390.7506462546,-0.142896721249118,0.587307330440072,0.383322762215839,0.10505952576504,0.25468824190252,0.0191087189733106,0.00839308513711919,0.229427675113958,0.858226390445934,0.958811276099261
"7m",5.929411649,1.331810142,-0.499535943,65.13351032,2.645124899,-5.978950662,33.43413682,6833.46491887019,6019.66095753205,7700.56865985577,-0.123392294798881,0.587476588212527,0.379619046663627,0.0995988207749831,0.263959142642143,0.0182801571985086,0.00807659668274797,0.230466241255785,1.10589564305085,1.11726754139631
"POS1",3.352420805,1.381284518,-0.34335637,59.62308306,2.738512014,-3.439856951,40.73560869,6175.94300227379,5529.85582585121,6839.17533669543,-0.170042849643606,0.573807270669225,0.351192262635302,0.0906353283729126,0.296642523648134,0.0197453457973341,0.0111174597752406,0.230667085345112,1.22224629814945,1.20167481543413
"23d",4.204714581,1.307838918,0.504547538,74.85747598,2.988938822,1.60439808,1.154318187,6730.49723307292,5473.03972981771,7061.97068684896,0.0328411304611055,0.616023999452591,0.271900320053101,0.115945968528589,0.307887182633082,0.0261272807295124,0.0121863421673576,0.265952907005946,0.836743579308192,0.950952784220378
"v23ab",5.847326226,1.401965796,-0.267838357,66.6910069,2.891930518,-1.323582599,35.93054609,6585.63124150815,5842.14799167799,7399.66501783288,-0.119993589654634,0.587693968544836,0.344329066898512,0.0959209343013556,0.290224014416985,0.0203099956169077,0.0105355601028904,0.238680424249691,1.18062590516132,1.1119186308073
"d23ab",5.84778536,1.401504903,-0.09587334,78.75248684,3.152313645,-0.435055575,35.86070346,6713.18859049479,5639.98181966146,7596.12574869792,0.135658264707993,0.587993460893631,0.301498652497927,0.107688673585653,0.2992778023084,0.0232526727641622,0.01105547985062,0.257226720949014,1.15486025015513,1.07526845534643
"31pv",6.176458757,1.336248005,-0.130731973,69.2446208,2.616394965,-5.893424163,19.97202228,6323.74009261593,5328.81651650706,7092.47542842742,0.0044623036778325,0.593135708762753,0.320676993939184,0.102540088036368,0.294386133070915,0.0209694937352211,0.00998166666155861,0.251445615964551,1.24508973475425,1.11448658281757
"5m",-5.224428415,1.472547999,0.003820125,48.25817399,2.261135846,-10.04749756,-26.63544204,6270.63223544034,5410.8887162642,6679.4814453125,-0.10496853154081,0.578696615768201,0.325930687514218,0.115920782766559,0.271441875985174,0.0223141601026961,0.00798994373304374,0.25640254129063,0.704119810552308,0.847777142669215
"5mv",-3.97839372,1.299266312,0.248368988,46.30299489,2.208743339,-6.806313439,1.154318187,5677.45770363729,4895.15524942367,6027.87291880123,0.0548892863375335,0.63253299036964,0.311293216513806,0.115741146881072,0.282607268603122,0.0218291664038037,0.00795659857237192,0.260572601781517,0.841548411572566,0.826869936262975
"23c",-2.141789335,1.252193332,0.598666928,59.39915229,2.473750106,0.890895847,1.154318187,5920.78070464692,4962.19372082995,6097.39508928571,0.149664600129898,0.639297555019329,0.291428345170888,0.110549629605436,0.301000799064512,0.0240522285608889,0.0112538100462165,0.261715185719651,0.941118478775024,0.888861256760436
"5L",-5.020228624,1.286240377,-0.168737033,45.92523366,2.175561277,-1.952552454,-23.42307528,5641.96039287861,4968.93088003305,6178.21499399038,-0.0122346915080785,0.586213571520952,0.339947135975728,0.11834658180865,0.258947460697247,0.0228369634670134,0.00890505297754246,0.251016804518608,0.787990686985163,1.00261166921029
"24dd",-5.185046141,1.44151492,0.816705756,52.39461748,2.747962724,-1.584754819,-26.29931758,6110.04601702009,5241.06496930804,6367.11073521205,-0.0529437237399457,0.568760733093534,0.262081871713911,0.116879058629274,0.306896428125245,0.0245916361255305,0.00957522655704192,0.279975779141699,0.917173285143716,0.92074596796717
"24dv",-4.710601094,1.302292062,1.187403503,52.85629469,2.671700545,4.726901783,-29.51168435,5952.45283647017,4958.58846768466,5916.29750754616,0.0334762770905901,0.580491525205699,0.2463780421425,0.11032640510662,0.320485992187803,0.0245040766894817,0.0103541870432144,0.287951292639429,1.14431487701156,1.07380795478821
"7AL",-4.033635842,1.273317854,0.209768164,53.36471243,2.177858315,-4.006655784,-28.9646275,5582.39605978261,4923.45032269022,6141.80352694746,-0.0143908072128206,0.584337056546971,0.350961658833683,0.118025321999322,0.255796612172887,0.0212668280616619,0.00861988415050766,0.245329693823621,0.905552178189374,1.07279946406682
"SCEF",-2.616674461,1.285971679,0.950716828,57.68584654,2.859771501,0.297869537,-26.53685838,6460.86216905382,5403.92011854384,6986.65473090278,0.0630355777640669,0.601137064397335,0.227266314749916,0.110969754453335,0.322128570742077,0.0243116224236372,0.00905793021795236,0.306265807814068,1.1733238481813,1.0824460114042
"6ma",-1.490865317,1.233721999,0.592467942,53.00823219,2.708718362,1.038918506,1.154318187,6010.08879394531,4984.68228352865,6670.22325032552,0.0681221152956009,0.604027299086253,0.217374568680922,0.111872186635931,0.322675775488218,0.026124144004037,0.0110249461295704,0.310928378005823,1.16709961394469,1.06050582826138
"7Am",-1.964545976,1.241255163,-0.282622014,57.43023587,2.35692358,-4.2285031,-5.108628492,6073.55573167067,5390.06071213942,6607.88488581731,-0.0448094481673951,0.599768141599802,0.369071893967115,0.109483323074304,0.254579941126016,0.0200551945429582,0.00832465584748066,0.238484996327987,0.94353237427198,0.977295706822322
"7PL",-1.082045245,1.312521047,-0.520704126,59.72603963,2.30233811,-6.351193439,-16.151415,6134.93791647518,5324.65405273438,6903.40050551471,-0.140930333008458,0.587659522014506,0.392478778081782,0.106966233209652,0.246927110587849,0.0194811921785859,0.00907904315082466,0.225067639613853,0.959142749800402,0.947617529069676
"7PC",-4.570985063,1.334758842,1.31939335,55.17671595,2.32035532,-4.614233122,-32.93618128,5641.51648615057,5194.39436257102,6375.83353160511,-0.00959278197634766,0.595853494514119,0.345477414131165,0.123049021850933,0.257640888474204,0.0207227456298741,0.00838245106860995,0.244727480140599,0.91413060426712,0.991697814247825
"LIPv",-3.871542389,1.420087327,1.566183503,61.46588851,2.189005072,-5.704959434,-29.09063952,5945.15049235026,5438.4435933431,6934.09514363607,-0.0662122150462848,0.614600153019031,0.359576392297943,0.115441172228505,0.257083470622698,0.0190798817978551,0.00790030359833812,0.240918780677021,1.06929455076655,1.12655838082234
"VIP",-3.846190863,1.338807011,0.619310414,58.52936962,2.264843459,-5.473147126,-22.23674874,5548.36720002003,4995.40592447917,6450.10921223958,-0.0723080069429296,0.591636193104279,0.372096848793519,0.114100369123312,0.249513221856875,0.019973541633823,0.00877693691887917,0.235539079476626,0.986989045754457,0.971135474168337
"MIP",-0.910968319,1.358643571,0.434380279,57.78441729,2.250103837,-4.380458611,-14.94083542,6064.54486553486,5387.15616548978,7105.09163724459,-0.0729282063679123,0.617895550452746,0.378629216207908,0.10914930429023,0.256114220676514,0.0181417391420557,0.00799215835734056,0.229973362615475,1.14212908194615,1.12518312953986
"1",-5.244828921,1.443907533,0.670584758,52.64387264,2.28167113,-9.078681104,-29.51168435,5596.32403518562,4982.01203080945,6264.23246960174,0.0769397850977037,0.565063077256196,0.311367458866951,0.126796516540803,0.273851700071105,0.0241423536204082,0.0107177020491738,0.253124266974908,0.92452227262626,1.01834328954381
"2",-5.141620656,1.372950756,1.063408396,55.75845594,2.1490207,-2.926697227,-33.71977001,5801.84944152832,5172.42204589844,6342.61985778809,0.0327426247160554,0.582614996284246,0.329083635471761,0.126650743046775,0.265816500410438,0.0218980483710766,0.00876684574177489,0.247784223780036,1.05365487672389,1.08182048797607
"3a",-4.977772156,1.553039401,0.097161012,56.90701786,1.9842642,-7.401215365,-26.29931758,6288.52170632102,5454.9879128196,6787.33442382813,0.206806564352141,0.559179502725601,0.295708078687841,0.118870415403084,0.292078383131461,0.022708892009475,0.00971006167713891,0.260924169827591,0.934502936493267,1.01190402561968
"6d",-5.218333804,1.429493946,-0.35321614,58.24609603,2.818259215,-6.923811445,-33.71977001,5792.89655172414,5106.3469995959,6525.11399683459,0.065885835041661,0.574404462658126,0.263636753990732,0.129437565161236,0.286838582363622,0.0258324586882673,0.00968674698780323,0.284567893579088,0.938982050994347,0.869936266849781
"6mp",-5.058044201,1.399763448,0.217010488,49.08509706,2.621255823,-3.022198009,-26.29931758,5877.32952400808,4976.5614301703,6382.35325776861,-0.0195606343978499,0.565938780816753,0.252832114529074,0.120665691374393,0.299567628442571,0.025931328325794,0.00992851102661886,0.29107472501444,1.04665620809191,0.931853604450654
"6v",-4.155620995,1.3003061,-0.309915233,68.73259652,2.95391055,0.13943078,-33.71977001,5542.7749528556,4927.48865167026,6279.02806775323,0.204327075183392,0.580864186944633,0.241559958149647,0.11283049706755,0.328908795940465,0.0252538681801023,0.0135240098461509,0.277922879005301,1.00497759827252,1.01754656947892
"p24pr",-2.6184304,1.17348748,0.840547826,64.36785978,2.901209188,6.489524042,-32.3564771,6317.97998046875,5232.03986328125,6009.26109375,-0.103195149132184,0.616797368526459,0.252428382635117,0.108426217138767,0.320771725177765,0.0264921909570694,0.0131659615784883,0.278715530633926,0.836887979507446,0.919325661659241
"33pr",0.030577257,1.099204595,0.585081364,49.43572229,2.316063968,10.34005797,-22.58209719,6189.82290926847,4811.01134144176,5673.7284712358,0.154917920163522,0.61735750599341,0.246118313886903,0.106378590518778,0.327896888960492,0.0247118485752832,0.0116683958013627,0.283225953578949,0.823521882295609,0.92731543562629
"a24pr",-2.555705524,1.141324758,0.947093333,66.10714577,3.035419491,11.49930504,-20.28943282,6332.72568359375,4999.88908203125,5907.97869140625,0.0255734367174623,0.607930197715759,0.226661705970764,0.103081214427948,0.340089117288589,0.0244578212499619,0.0115904364362359,0.294119699001312,0.954775197505951,1.0198429274559
