"","CBF","cbv","cmr02","cmruglu","G1.fMRI","intersubjvar","meg_alpha","meg_beta","meg_delta","meg_gamma1","meg_gamma2","meg_theta"
"lh_7Pm",6570.00504078585,8116.56407973346,5817.16350241268,7390.7506462546,3.15197159437572,0.587307330440072,0.383322762215839,0.10505952576504,0.25468824190252,0.0191087189733106,0.00839308513711919,0.229427675113958
"lh_7m",6833.46491887019,5073.84049479167,6019.66095753205,7700.56865985577,6.02481189140907,0.587476588212527,0.379619046663627,0.0995988207749831,0.263959142642143,0.0182801571985086,0.00807659668274797,0.230466241255785
"lh_POS1",6175.94300227379,5835.11032241138,5529.85582585121,6839.17533669543,3.65323236584663,0.573807270669225,0.351192262635302,0.0906353283729126,0.296642523648134,0.0197453457973341,0.0111174597752406,0.230667085345112
"lh_23d",6730.49723307292,5513.78922526042,5473.03972981771,7061.97068684896,4.63554626305898,0.616023999452591,0.271900320053101,0.115945968528589,0.307887182633082,0.0261272807295124,0.0121863421673576,0.265952907005946
"lh_v23ab",6585.63124150815,6465.81029211957,5842.14799167799,7399.66501783288,5.90649295889813,0.587693968544836,0.344329066898512,0.0959209343013556,0.290224014416985,0.0203099956169077,0.0105355601028904,0.238680424249691
"lh_d23ab",6713.18859049479,6073.10305989583,5639.98181966146,7596.12574869792,5.84166246255239,0.587993460893631,0.301498652497927,0.107688673585653,0.2992778023084,0.0232526727641622,0.01105547985062,0.257226720949014
"lh_31pv",6323.74009261593,4868.08285030242,5328.81651650706,7092.47542842742,6.36871796269571,0.593135708762753,0.320676993939184,0.102540088036368,0.294386133070915,0.0209694937352211,0.00998166666155861,0.251445615964551
"lh_5m",6270.63223544034,7392.27607125947,5410.8887162642,6679.4814453125,-5.19949559009436,0.578696615768201,0.325930687514218,0.115920782766559,0.271441875985174,0.0223141601026961,0.00798994373304374,0.25640254129063
"lh_5mv",5677.45770363729,4191.15220767162,4895.15524942367,6027.87291880123,-3.90499991276225,0.63253299036964,0.311293216513806,0.115741146881072,0.282607268603122,0.0218291664038037,0.00795659857237192,0.260572601781517
"lh_23c",5920.78070464692,4375.99843686587,4962.19372082995,6097.39508928571,-2.23809375463949,0.639297555019329,0.291428345170888,0.110549629605436,0.301000799064512,0.0240522285608889,0.0112538100462165,0.261715185719651
