gene,cor
A1BG,-0.0139464098705008
A1BG.AS1,-0.0324260721860079
A2M,-0.0829113107898132
A2ML1,0.147918711654132
A3GALT2,0.0465386234971786
A4GALT,-0.0997390584341922
AAAS,-0.0895034764799268
AACS,-0.0609181651682263
AADACL3,0.0484024572305772
AADAT,-0.0117265388023479
AAED1,0.00575397273268398
AAGAB,0.179341911487409
AAK1,0.100183813077321
AAMDC,-0.116607078594664
AAMP,-0.16005546029253
AANAT,0.104754570695769
AAR2,0.0336967676586456
AARD,0.0720663644443794
AARS,-0.0952472127830559
AARS2,0.0621832130212213
AASDH,0.1143926573824
AASDHPPT,-0.0430263730934366
AASS,-0.0393251106603207
AATF,-0.121967219416065
AATK,-0.0851716424386754
ABAT,0.186747326129216
ABCA1,0.0621154199301801
ABCA10,0.05339035908121
ABCA11P,0.134368936515677
ABCA2,-0.0920764058549468
ABCA3,-0.122382603858002
ABCA5,0.113742852071265
ABCA6,-0.0195206359991598
ABCA7,0.026077590530147
ABCA8,-0.0866797037003706
ABCA9,0.0428003722189923
ABCB1,-0.0197914145479171
ABCB10,-0.142388064287586
ABCB6,0.00445609974198732
ABCB7,0.147827518049692
ABCB8,0.0660105418843331
ABCB9,0.00379043102207678
ABCC1,0.256798029315735
ABCC10,0.0269323515605605
ABCC12,-0.195665708791812
ABCC5,0.120211926907341
ABCC6,-0.0667391424512399
ABCC8,-0.0812814909533355
ABCC9,-0.123508985691771
ABCD2,0.145724923557617
ABCD3,0.167848275460058
ABCD4,-0.0623098409712191
ABCE1,0.0306381623163482
ABCF1,-0.100901283238644
ABCF2,-0.154601181752573
ABCF3,-0.0721279067970679
ABCG1,0.130755743695455
ABCG2,0.0325121980517848
ABCG4,-0.0768166810265951
ABCG8,0.00662995152786162
ABHD1,0.0117196556916068
ABHD10,-0.123194404011655
ABHD11,0.150326127329722
ABHD12,-0.108584078121915
ABHD12B,-0.386866453484418
ABHD13,0.0321413913185111
ABHD14A,-0.0163223721775636
ABHD14B,-0.0194110504093986
ABHD16A,-0.161203979701208
ABHD16B,0.0441783114025644
ABHD17A,-0.0988931216002872
ABHD17B,0.0294933027746839
ABHD17C,0.0877598418855396
ABHD18,-0.193826343853602
ABHD2,0.117172315099757
ABHD3,0.158798913182759
ABHD4,-0.000702545186805072
ABHD5,0.0586787183418007
ABHD6,-0.067332859765959
ABHD8,-0.205876275251871
ABI1,-0.166697744042183
ABI2,0.0620732620249282
ABI3,0.0513690457065398
ABL1,0.0509657759551832
ABL2,0.114709648641111
ABLIM1,0.0197176411873741
ABLIM2,0.0244249244072023
ABLIM3,0.11078836121963
ABR,-0.0710732078605942
ABRACL,-0.0139814788167434
ABRAXAS2,0.186535330428418
ABT1,-0.0660105275008314
ABTB1,-0.139087105614481
ABTB2,0.0435345535791015
ACAA1,-0.126071975424244
ACAA2,-0.0272262392044104
ACACA,-0.0367131137014674
ACACB,0.081731499384396
ACAD10,0.15298058294302
ACAD11,-0.0745362484631076
ACAD8,-0.0766767656576238
ACAD9,-0.0548854680488925
ACADL,0.0206451954444963
ACADM,0.178598616197512
ACADSB,0.202525149507015
ACADVL,-0.0583121111403171
ACAN,0.06078911284019
ACAP2,0.103060197554626
ACAP3,0.19406195968324
ACAT1,-0.197863207604122
ACAT2,-0.122716548733556
ACBD3,-0.0823284252342079
ACBD4,0.0983131785158125
ACBD5,0.14316474695136
ACBD6,-0.187295372329569
ACBD7,0.0919290909855511
ACCS,0.0496338652878267
ACD,-0.0631901064765713
ACE,0.0108384344081824
ACER2,-0.00184386916265692
ACER3,-0.133036519809166
ACHE,-0.0950670972955064
ACIN1,0.11466839172017
ACKR1,0.303543862019155
ACKR2,0.0682105342553495
ACKR3,-0.0916835295384427
ACKR4,0.0486252799880081
ACLY,0.110609497651005
ACO1,-0.011209683137381
ACO2,-0.11168817022016
ACOT11,0.0208943419034882
ACOT13,-0.178166592651338
ACOT2,0.0174948473658749
ACOT4,-0.113641446541496
ACOT7,-0.166658096487118
ACOT8,-0.0993237902775954
ACOT9,0.0984125919877532
ACOX1,-0.00381324479306952
ACOX2,-0.0333523665559637
ACOX3,-0.126191180090635
ACP1,-0.14289733313498
ACP2,-0.0787923847389987
ACP5,-0.0831122307688168
ACP6,0.0954327349045099
ACPP,0.0459114577555667
ACR,-0.0580457513546576
ACRBP,0.113630034632946
ACSBG1,0.149436764961758
ACSF2,0.00550719169834709
ACSF3,-0.222811030620961
ACSL1,-0.0697645145802392
ACSL3,-0.0872979703399416
ACSL4,0.0226268104296195
ACSL6,0.0773564569025272
ACSM1,0.13057483889933
ACSM2A,0.00346358223155078
ACSM5,-0.0511353709355535
ACSS1,-0.0210028015270943
ACSS2,-0.0943787868479996
ACSS3,0.0518630798971384
ACTA1,-0.230314552629817
ACTA2,-0.0571897602454267
ACTB,-0.0329484236120437
ACTBL2,0.1177908617674
ACTC1,-0.296651448586004
ACTG1,-0.126842267192313
ACTG1P4,-0.0692564784170831
ACTG2,0.0283320465277341
ACTL10,-0.0603284464663775
ACTL6A,-0.0925053178204162
ACTL6B,-0.0344491323272013
ACTL8,0.064393122759426
ACTN1,0.114226247834702
ACTN2,-0.250897205002039
ACTN4,-0.0631086722451828
ACTR10,-0.138549792087998
ACTR1A,-0.115278812580861
ACTR1B,-0.0660404899066545
ACTR2,-0.141448547505039
ACTR3,0.0689322147715155
ACTR3B,-0.0339827014172837
ACTR3BP2,0.0564923539150458
ACTR3C,0.0233813668497472
ACTR5,-0.0802972045915884
ACTR6,-0.18511275167253
ACTR8,0.000429231411319517
