gene,cor
A1BG,0.145842181228986
A1BG.AS1,0.14294351337865
A2M,0.0137718905424619
A2ML1,0.0123012290731608
A3GALT2,0.054344881218417
A4GALT,0.0080621246002464
AAAS,-0.123680845252838
AACS,0.0182615864203804
AADACL3,0.119821278439139
AADAT,-0.140119630196049
AAED1,0.018787368729208
AAGAB,0.00904376579788255
AAK1,-0.0740086618003964
AAMDC,-0.0888575670679537
AAMP,-0.0631692930740183
AANAT,0.0140636505894928
AAR2,0.0240431922027046
AARD,-0.1382487019261
AARS,-0.188965379049777
AARS2,-0.0125919445622288
AASDH,-0.0564871256281376
AASDHPPT,0.0304425321611967
AASS,0.0482604347307899
AATF,-0.151829037453724
AATK,-0.193483598937092
ABAT,0.0478644092206923
ABCA1,0.139354468583719
ABCA10,-0.0878314619788911
ABCA11P,-0.0699912338399717
ABCA2,-0.175214395573599
ABCA3,-0.0803741135658015
ABCA5,-0.0583434283053361
ABCA6,-0.215248701439292
ABCA7,-0.209512110255627
ABCA8,-0.111926791156006
ABCA9,-0.0841804693180289
ABCB1,-0.0850098631607642
ABCB10,-0.113031094636758
ABCB6,0.196846634126725
ABCB7,-0.0700174217392152
ABCB8,0.108959701391729
ABCB9,-0.120501635400855
ABCC1,-0.125308790815058
ABCC10,-0.00486745136664875
ABCC12,0.0423151550966604
ABCC5,-0.123584188546567
ABCC6,0.187800188587014
ABCC8,-0.16012859750382
ABCC9,0.0720084400526911
ABCD2,-0.150749870625794
ABCD3,0.0369884778072351
ABCD4,-0.12131677076243
ABCE1,0.00364781672471839
ABCF1,-0.0982805062790287
ABCF2,-0.134568926154423
ABCF3,-0.00871845214893054
ABCG1,-0.00654165097335044
ABCG2,-0.0515432612763224
ABCG4,-0.177053691885945
ABCG8,0.0971065774960794
ABHD1,0.0226350864203368
ABHD10,-0.015020979478834
ABHD11,-0.010205660160932
ABHD12,-0.248809561160814
ABHD12B,0.0882975408665705
ABHD13,-0.0482812531885312
ABHD14A,0.0629752920548314
ABHD14B,-0.0334899095941997
ABHD16A,-0.157440113675566
ABHD16B,0.00355948309426087
ABHD17A,-0.180530409338757
ABHD17B,-0.162190604641928
ABHD17C,0.195576262977015
ABHD18,-0.0741278320604216
ABHD2,0.120637581294244
ABHD3,-0.00628400821867142
ABHD4,0.0697115916243211
ABHD5,-0.155649997972953
ABHD6,-0.152508980458368
ABHD8,-0.0647486031832412
ABI1,0.116973262493205
ABI2,0.125483889681529
ABI3,-0.0252259407566703
ABL1,-0.109714048410368
ABL2,-0.0894168969350112
ABLIM1,0.0547697717702116
ABLIM2,-0.14127747774971
ABLIM3,0.0756813680946617
ABR,0.228446328300222
ABRACL,-0.130322131342104
ABRAXAS2,0.0307203257826924
ABT1,-0.0780596109585484
ABTB1,-0.162536283226447
ABTB2,-0.253792036481085
ACAA1,-0.0588980649640742
ACAA2,0.0756435383949776
ACACA,-0.0449401979371177
ACACB,0.0155953336856783
ACAD10,0.106506976622285
ACAD11,-0.124524012930059
ACAD8,-0.00947582157160452
ACAD9,0.0326325671074731
ACADL,0.124304018306642
ACADM,-0.0333708402776184
ACADSB,0.0288070329797941
ACADVL,0.134430766174055
ACAN,-0.261157160824758
ACAP2,-0.113209186358587
ACAP3,0.0397499744247933
ACAT1,0.0374153439106492
ACAT2,0.0254439705385624
ACBD3,-0.096476344767494
ACBD4,0.0192970244047066
ACBD5,-0.0723506499790801
ACBD6,0.0660731807473509
ACBD7,0.0713483888120894
ACCS,-0.0232125805527423
ACD,0.0382963341249715
ACE,-0.0882983371281828
ACER2,-0.0245744361120422
ACER3,-0.145952639138462
ACHE,-0.0110763743313033
ACIN1,-0.138353136488807
ACKR1,0.042784315089925
ACKR2,0.0986578848039227
ACKR3,0.232192619301592
ACKR4,0.100191858597312
ACLY,0.00409098632597296
ACO1,0.0667571171542412
ACO2,0.0589850167631198
ACOT11,0.0995327248101746
ACOT13,0.0709031073808329
ACOT2,0.283621904719582
ACOT4,-0.0174432875973745
ACOT7,0.121982886121073
ACOT8,0.187602753729165
ACOT9,-0.1439027597023
ACOX1,0.0793007855299228
ACOX2,0.170147582593196
ACOX3,0.154825264248911
ACP1,0.245095347378224
ACP2,-0.0496701277545418
ACP5,0.110085946597717
ACP6,-0.16241687975396
ACPP,0.0298039880966902
ACR,-0.0548493482365186
ACRBP,0.0229830432883501
ACSBG1,0.157482725752817
ACSF2,0.0524238474885926
ACSF3,-0.107904184602146
ACSL1,-0.124336028499767
ACSL3,-0.099645838354741
ACSL4,0.252476447957593
ACSL6,-0.205155539194593
ACSM1,0.0266840495221551
ACSM2A,0.0995725606834806
ACSM5,0.168282989612698
ACSS1,0.093450594728053
ACSS2,-0.164632274993355
ACSS3,0.188829341884674
ACTA1,0.215390473680263
ACTA2,0.146986088724914
ACTB,0.00801676760537157
ACTBL2,0.0507516095177329
ACTC1,0.115763131355724
ACTG1,0.11829432486137
ACTG1P4,0.15910823867317
ACTG2,0.11878987778289
ACTL10,0.0119784159846364
ACTL6A,-0.0481618205963212
ACTL6B,-0.0780570793351408
ACTL8,-0.0778806347409202
ACTN1,0.218519565799526
ACTN2,-0.0497867268862143
ACTN4,-0.134563255624052
ACTR10,0.199901706106541
ACTR1A,0.163840541774735
ACTR1B,-0.181434857423116
ACTR2,0.0320926923551072
ACTR3,0.0660957297974568
ACTR3B,0.242490169132978
ACTR3BP2,0.164998662298483
ACTR3C,0.0897036871736979
ACTR5,-0.0679748565118082
ACTR6,-0.0984620353998591
ACTR8,-0.0367421904961954
ACTRT3,0.089264231268557
ACVR1,-0.0927301095755348
ACVR1B,0.00523285181068945
ACVR1C,-0.229826476482105
ACVR2A,0.226450779280792
ACVR2B,0.152393837310905
ACVRL1,-0.0926404631146206
ACY3,-0.0135237374422844
ACYP1,0.0734888309601086
ACYP2,-0.215195253438299
ADA,-0.0773031928485433
ADA2,0.10480586894341
ADAD2,-0.0354029085632231
ADAL,0.00930533454003386
ADAM10,0.0340836866932866
ADAM11,-0.0165456036595252
ADAM15,-0.151375889158872
ADAM17,-0.0774200665239483
ADAM19,-0.00513530559440354
ADAM20,-0.0585423424280282
ADAM20P1,0.00529404919324249
ADAM22,-0.20077153028514
ADAM23,-0.210780078142904
ADAM28,0.0631900969297791
ADAM29,0.103439365174951
ADAM33,0.0837862785034985
ADAM7,0.118099627529742
ADAM8,-0.12402431290026
ADAM9,-0.0498439042888831
ADAMTS1,-0.0600458551899162
ADAMTS10,-0.0109309778389471
ADAMTS13,-0.198296832223423
ADAMTS14,-0.137911752074378
ADAMTS19,0.174748776597468
ADAMTS2,-0.00750098987009173
ADAMTS4,-0.202942413731008
ADAMTS5,-0.209008289991288
ADAMTS7,0.0597912051208121
ADAMTS8,0.0970103931474675
ADAMTS9,0.115094777433293
ADAMTSL1,0.00324962169298382
ADAMTSL2,0.0696244786727595
ADAMTSL3,-0.02276267795756
ADAMTSL5,-0.0219236592225859
ADAP1,-0.0481476698641492
ADAP2,0.056940795309199
ADAR,0.0677580034162752
ADARB1,-0.0880011460781854
ADARB2,-0.104527434058066
ADARB2.AS1,-0.0953515520319407
ADAT1,-0.175357767882022
ADAT2,0.122009036746932
ADAT3,0.032284911533441
ADCK1,-0.131491946875162
ADCK2,-0.0128650002830848
ADCK5,0.00956800971250409
ADCY1,-0.178797383438927
ADCY10P1,-0.0962159567147943
ADCY2,0.191627090306995
ADCY3,-0.0617890233403564
ADCY4,-0.0899035656018477
ADCY5,-0.128888756840732
ADCY6,-0.0820530746697912
ADCY7,0.10683866307106
ADCY8,0.0399422399354389
ADCY9,-0.17163054970355
ADCYAP1,0.221995013507371
ADCYAP1R1,0.17003043092474
ADD1,-0.206116774144384
ADD2,-0.0656244157458961
ADD3,0.0374824396892226
ADGRA1,-0.0480741980018854
ADGRA2,-0.0905037613591656
ADGRA3,0.177052969842309
ADGRB1,0.132784228937475
ADGRB2,0.0887737461556828
ADGRB3,0.269669394130631
ADGRE5,-0.161309764552973
ADGRF5,0.088258418274591
ADGRG1,0.209536083588078
ADGRG5,-0.0123786434406644
ADGRG6,0.0804655601319176
ADGRL1,0.0207384985581609
ADGRL2,-0.0792955594233146
ADGRL3,0.231213874801815
ADGRL4,-0.0515089880053702
ADGRV1,0.218860574912162
ADH1C,0.0793569936515559
ADH5,0.190271895648716
ADHFE1,0.132361482744102
ADI1,0.0541623576777168
ADIPOR1,0.101100468037069
ADIPOR2,-0.152637271115115
ADIRF,0.218481745799322
ADK,0.0722534494676407
ADM,-0.202290393445599
ADM5,0.296759697518268
ADNP,0.0582719961430166
ADNP.AS1,-0.106283210572718
ADNP2,-0.0982020426992626
ADO,-0.196583975524468
ADORA1,-0.18514661731454
ADORA2B,0.198396282662382
ADPGK,-0.139586960686248
ADPRHL1,-0.161175545549714
ADPRHL2,-0.0527116105875986
ADPRM,-0.142874994708423
ADRA1A,0.111841133743835
ADRA1B,0.136222647119394
ADRA1D,-0.0698999118564403
ADRA2A,-0.0477995516088405
ADRA2C,0.13355097562667
ADRB1,-0.0385322574615483
ADRB2,0.0196124352769305
ADRM1,0.0280161419887968
ADSL,0.0638026992237495
ADSS,-0.100059756187876
ADSSL1,-0.223045011385944
ADTRP,0.204599155416544
AEBP1,0.177116263431045
AEBP2,0.0245659175092082
AES,-0.070931874326994
AFAP1,0.211875660680183
AFAP1L1,-0.118107394497164
AFAP1L2,0.0759512291285975
AFDN,0.0726942260972367
AFDN.DT,-0.0653140209638959
AFF1,-0.058732484595546
AFF2,0.153164391317733
AFF3,-0.0380336828027766
