gene,cor
A1BG,0.307724435021695
A1BG.AS1,0.0515487129666119
A2M,-0.0308593142828128
A2ML1,0.0111996150049528
A3GALT2,-0.0478780268577524
A4GALT,-0.0558855041364621
AAAS,-0.161002345018817
AACS,-0.0202490568590612
AADACL3,-0.049979951932017
AADAT,-0.0148454786619565
AAED1,0.0234906732367273
AAGAB,-0.0178635100680491
AAK1,-0.162218033735885
AAMDC,0.0876458725321198
AAMP,-0.0444746858183955
AANAT,0.0142013759194106
AAR2,-0.0625502484386663
AARD,-0.177425647958266
AARS,-0.211793087597472
AARS2,0.0428272125574145
AASDH,-0.0192165768794413
AASDHPPT,-0.00245066330242396
AASS,0.114946210990964
AATF,-0.124997711569634
AATK,-0.0806998151015292
ABAT,-0.0179319396385799
ABCA1,0.221354059327619
ABCA10,-0.126496556766099
ABCA11P,-0.019955462389665
ABCA2,0.0411449560416821
ABCA3,-0.0248155955364831
ABCA5,0.114071481351274
ABCA6,-0.158149644104343
ABCA7,-0.076059060206295
ABCA8,0.00964772404544202
ABCA9,-0.149702013078942
ABCB1,-0.0445463235301152
ABCB10,-0.14653713887356
ABCB6,0.0496736172615893
ABCB7,0.00068202222495388
ABCB8,0.0879610759932251
ABCB9,-0.017223020009558
ABCC1,0.101778504356008
ABCC10,-0.0075674574312792
ABCC12,-0.11940148251473
ABCC5,0.100399270544362
ABCC6,0.00177774031372937
ABCC8,-0.218294481764448
ABCC9,-0.155336705992407
ABCD2,-0.0535536437728496
ABCD3,0.0767045882854862
ABCD4,-0.00482713923594608
ABCE1,0.134728789083751
ABCF1,-0.0775955467149812
ABCF2,-0.203302217247344
ABCF3,-0.0952778644670338
ABCG1,0.294770160696953
ABCG2,-0.0677618069171736
ABCG4,-0.296359264617802
ABCG8,-0.0337219237196994
ABHD1,0.180854248519572
ABHD10,-0.0432047974284147
ABHD11,-0.0026831505542037
ABHD12,-0.188341289712724
ABHD12B,-0.29235900569573
ABHD13,-0.0403713497291962
ABHD14A,-0.0383148537345367
ABHD14B,0.0890623452985586
ABHD16A,-0.0787778266336206
ABHD16B,-0.0112948531040635
ABHD17A,-0.222800740461567
ABHD17B,-0.108067218030041
ABHD17C,0.210436619142111
ABHD18,0.00187777779490098
ABHD2,0.028773726633914
ABHD3,0.0308844226160678
ABHD4,0.139840773013467
ABHD5,0.0651586995035876
ABHD6,-0.108794893303146
ABHD8,-0.190414900210742
ABI1,0.00149635315722167
ABI2,0.110690542917422
ABI3,0.0527385372232486
ABL1,0.0474862018824887
ABL2,0.0291333248916501
ABLIM1,-0.0210086770429821
ABLIM2,-0.163823410896955
ABLIM3,0.1708357945614
ABR,0.160129447388935
ABRACL,-0.126552608755424
ABRAXAS2,0.0623039127753466
ABT1,-0.0569007331425292
ABTB1,-0.318151172749131
ABTB2,-0.0141510613462419
ACAA1,0.00319185472744183
ACAA2,-0.0182963880409103
ACACA,-0.0735494572097126
ACACB,0.0414305732548136
ACAD10,0.017654023512394
ACAD11,-0.0478097184112069
ACAD8,-0.0376645825755339
ACAD9,0.0129106877602059
ACADL,0.120269417170793
ACADM,-0.0692947449907749
ACADSB,0.0712209351181727
ACADVL,0.0305583958814604
ACAN,-0.204062461951257
ACAP2,0.0663502485382474
ACAP3,0.178198953118568
ACAT1,-0.10138223134108
ACAT2,-0.0240213259300689
ACBD3,-0.00159511915361724
ACBD4,-0.0425000090945333
ACBD5,0.0363075694895822
ACBD6,0.00217018537674361
ACBD7,-0.0388961264752552
ACCS,0.191160557423135
ACD,-0.0308613439904636
ACE,-0.178623200729711
ACER2,0.00941073164819367
ACER3,-0.0898968715057904
ACHE,-0.299074769487879
ACIN1,0.063399477184559
ACKR1,0.269980826330537
ACKR2,0.00877770897026548
ACKR3,0.117436171787825
ACKR4,-0.0351394425826954
ACLY,0.084347413383207
ACO1,0.0366145182042162
ACO2,-0.113841030031097
ACOT11,-0.125246796384852
ACOT13,-0.116658625154347
ACOT2,0.172877123200419
ACOT4,0.0140518492820952
ACOT7,-0.063010555737754
ACOT8,0.0249963249416724
ACOT9,-0.0511964504248759
ACOX1,0.0165084893005381
ACOX2,-0.0777652580151627
ACOX3,0.0379885814628544
ACP1,0.08866290801004
ACP2,-0.0215783601232216
ACP5,0.0187990106493471
ACP6,0.0524047411898299
ACPP,-0.0552250219443551
ACR,-0.221500361434592
ACRBP,0.0459932570793667
ACSBG1,0.0873924328896641
ACSF2,0.0618705730821934
ACSF3,-0.268793295865396
ACSL1,0.115561236066888
ACSL3,-0.211260593855783
ACSL4,0.160074547682937
ACSL6,-0.202361703753383
ACSM1,0.166557351502903
ACSM2A,0.0537481267953168
ACSM5,-0.0237599836982217
ACSS1,-0.0593266898875676
ACSS2,-0.107261429948486
ACSS3,-0.0371040653295396
ACTA1,-0.140779354897735
ACTA2,-0.0211709306819275
ACTB,0.144659266945046
ACTBL2,-0.032946720005847
ACTC1,-0.176101072875025
ACTG1,0.0912959618039769
ACTG1P4,0.032841106877505
ACTG2,0.0657981306639741
ACTL10,-0.104700738934071
ACTL6A,0.0911032959070968
ACTL6B,-0.0460060700804114
ACTL8,0.0229466203322633
ACTN1,0.0725215299748144
ACTN2,-0.205995615236422
ACTN4,-0.238254838752131
ACTR10,0.067622175239627
ACTR1A,-0.000156101475144997
ACTR1B,-0.191947932672369
ACTR2,-0.20060407779389
ACTR3,0.114761934627307
ACTR3B,0.122697835283748
ACTR3BP2,0.0713979258934235
ACTR3C,0.0223354632501819
ACTR5,0.0581720824303033
ACTR6,-0.163618457115855
ACTR8,-0.1045842228356
